Sample Checking,ISIN,Ticker,Quantity,Name,Last ClosePrice,Takara UMD 0408 LCP,Currency,Takara UMD 0408 CCY, Listed Exchange ,Section,Takara Prim Exchange,Market Cap USD,Takara UMD 0408 CUR_MKT_CAP,CUR_MKT_CAP in USD Million, Equity Shares Outstanding Mio ,Takara UMD 0408 EQY_SH_OUT,EQY_SH_OUT IN MIL, vol_260d_cal ,Takara UMD 0416 vol_260d_calc,3M Volume,Takara UMD 0408  VOLUME_AVG_3M,Average Traded Value_3M (USD),Takara UMD 0408  AVG_DAILY_VALUE_TRADED_3M,AVG_DAILY_VALUE_TRADED_3M in USD,HC Formula (%),HC Bucketing (%),HC mcap (%),"HC Max(HCmcap,formula) (%)",Penny stock penalty (if any),Full Equity Financing,Equity Financing up to LP10, Market Value USD , Full Equity Collateral Value USD , Collateral Value USD 
,US8334451098,SNOW US,172,SNOWFLAKE INC-CLASS A,156.31,,USD,, New York ,#N/A Field Not Applicable,UN,"51,473 Million",,, 329.30 ,,, 53.82 ,,"6,712,826",,"1,303,894,912",,,24.66%,21.25%,26.5%,26.5%,26.5%,70%,70%," 26,885 "," 18,820 "," 18,820 "
,US8523123052,STAA UQ,250,STAAR SURGICAL CO,38.41,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,"1,877 Million",,, 48.87 ,,, 55.94 ,,"268,021",,"8,606,272",,,25.5%,31.75%,26.5%,31.75%,31.75%,65%,65%," 9,603 "," 6,242 "," 6,242 "
,US88339J1051,TTD UQ,95,TRADE DESK INC/THE -CLASS A,78.35,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,"38,308 Million",,, 445.02 ,,, 46.80 ,,"1,626,773",,"122,167,904",,,21.83%,21.25%,26.5%,26.5%,26.5%,70%,70%," 7,443 "," 5,210 "," 5,210 "
,US91332U1016,U UN,240,UNITY SOFTWARE INC,26.07,,USD,, New York ,#N/A Field Not Applicable,UN,"10,062 Million",,, 385.94 ,,, 61.87 ,,"2,054,851",,"68,094,544",,,27.79%,21.25%,31.75%,31.75%,31.75%,65%,65%," 6,257 "," 4,067 "," 4,067 "
,US00724F1012,ADBE US,876,ADOBE INC,513.86,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"232,265 Million",,, 452.00 ,,, 35.28 ,,"3,403,861",,"1,944,948,864",,,16.94%,21.25%,21.25%,21.25%,21.25%,75%,75%," 450,141 "," 337,606 "," 337,606 "
,DE000BAY0017,BAYN GR,"3,636",BAYER AG-REG,26.115,,EUR,, Xetra ,#N/A Field Not Applicable,GY,"26,496 Million",,, 982.42 ,,, 31.96 ,,"4,692,949",,"145,282,536",,,15.48%,21.25%,21.25%,21.25%,21.25%,75%,75%," 103,021 "," 77,265 "," 77,265 "
,US0846707026,BRK/B UN,118,BERKSHIRE HATHAWAY INC-CL B,408.41,,USD,, New York ,#N/A Field Not Applicable,UN,"883,709 Million",,," 1,311.00 ",,, 13.29 ,,"1,084,009",,"419,468,288",,,6.75%,21.25%,21.25%,21.25%,21.25%,75%,75%," 48,192 "," 36,144 "," 36,144 "
,US0900401060,BILI US,"10,040",BILIBILI INC-SPONSORED ADR,11.84,,USD,, NASDAQ GS ,#N/A Field Not Applicable,#N/A,"4,884 Million",,, 328.76 ,,, 62.15 ,,"7,000,238",,"74,277,232",,,27.9%,31.75%,31.75%,31.75%,31.75%,65%,65%," 118,874 "," 77,268 "," 77,268 "
,US8522341036,SQ US,"16,560",BLOCK INC,80.86,,USD,, New York ,#N/A Field Not Applicable,UN,"49,785 Million",,, 555.18 ,,, 52.87 ,,"10,983,233",,"796,167,488",,,24.29%,21.25%,26.5%,26.5%,26.5%,70%,70%," 1,339,042 "," 937,329 "," 937,329 "
,DE000A2E4K43,DHER GY,"15,480",DELIVERY HERO SE,24.51,,EUR,, Xetra ,#N/A Field Not Applicable,GY,"6,880 Million",,, 271.71 ,,, 62.38 ,,"1,320,266",,"29,866,715",,,27.98%,21.25%,31.75%,31.75%,31.75%,65%,65%," 411,647 "," 267,570 "," 267,570 "
